"Id" | "FileName" | Title" | "Artist" | "Year" | "Country" | "Style" | "Link"
1 | "1.jpg" |  "The Great Wave off Kanagawa" | "Katsushika Hokusai" | "1829-33" | "Japan" | "woodblock printing" | "https://en.wikipedia.org/wiki/The_Great_Wave_off_Kanagawa"
2 | "2.jpg" | "The Starry Night" | "Vincent van Gogh" | "1889" | "Dutch" | "Post-Impressionist" | "https://en.wikipedia.org/wiki/The_Starry_Night"
3 | "3.jpg" | "Impression, Sunrise" | "Claude Monet" | "1872" | "France" | "Impressionist" | "https://en.wikipedia.org/wiki/Impression,_Sunrise"
